Mouse ,Cell Count ,Tissue,Infection,Sample:,Lymphocytes,Singlets,Live Cells,F480 B220 neg,CD8p_Freq,CD8p_Norm_Freq,CD8p_Num,CD8p_M6ITotal_Freq,CD8p_M6ITotal_Num,CD8p_M6VTotal_Freq,CD8p_M6VTotal_Num,CD8p_WTTotal_Freq,CD8p_WTTotal_Num,CD8p_TriplePos_Freq,CD8p_TriplePos_Num,CD8p_M6IM6VDP_Freq,CD8p_M6IM6VDP_Num,CD8p_WTM6IDP_Freq ,CD8p_WTM6IDP_Num,CD8p_WTM6IDP_Num,CD8p_WTM6VDP_Freq,CD8p_WTSP_Freq,CD8p_WTSP_Num,CD8p_M6ISP_Freq,CD8p_M6ISP_Num,CD8p_M6VSP_Freq,CD8p_M6VSP_Num,,,,,,,,,,,,,,,,,,,,
38,1.24E+07,Lungs,T8A Primary,Tetramer Stain For Phenotype_M5L_MMW_027.fcs,36.6,83.7,75,37,24.5,9.065,2.58E+05,3.57,9.22E+03,0,0.00E+00,4.29,1.11E+04,0,0.00E+00,0,0.00E+00,0,0.00E+00,0,0.00E+00,4.29,1.11E+04,3.57,9.22E+03,0,0.00E+00,,,,,,,,,,,,,,,,,,,,
38,7.03E+07,Spleen ,T8A Primary,Tetramer Stain For Phenotype_M5S_MMW_041.fcs,72.8,93.4,59.5,77.3,18.6,14.3778,4.09E+06,0,0.00E+00,0,0.00E+00,4.84,1.98E+05,0,0.00E+00,0,0.00E+00,0,0.00E+00,0,0.00E+00,4.84,1.98E+05,0,0.00E+00,0,0.00E+00,,,,,,,,,,,,,,,,,,,,
16,1.45E+07,Lungs,T8A Primary,Tetramer Stain From Sort_M1L_MMW_013.fcs,38.3,82.2,71.2,71.8,31.7,22.7606,7.40E+05,6.8,5.03E+04,0.47,3.48E+03,10.8,7.99E+04,0.045,3.33E+02,0.023,1.70E+02,1.46,1.08E+04,0.14,1.04E+03,9.16,6.78E+04,5.27,3.90E+04,0.27,2.00E+03,,,,,,,,,,,,,,,,,,,,
18,1.54E+07,Lungs,T8A Primary,Tetramer Stain From Sort_M2L_MMW_015.fcs,22.4,89.1,77.6,81.1,13.3,10.7863,2.57E+05,7.02,1.81E+04,2.15,5.53E+03,14.9,3.83E+04,1.73,4.45E+03,0,0.00E+00,0.74,1.90E+03,0.33,8.49E+02,12.1,3.11E+04,4.54,1.17E+04,0.083,2.14E+02,,,,,,,,,,,,,,,,,,,,
19,1.17E+07,Lungs,T8A Primary,Tetramer Stain From Sort_M3L_MML_017.fcs,41,92.9,82.8,82.9,15.2,12.6008,4.65E+05,6.14,2.85E+04,0.16,7.44E+02,3.12,1.45E+04,0,0.00E+00,0,0.00E+00,0.36,1.67E+03,0.033,1.53E+02,2.72,1.26E+04,5.77,2.68E+04,0.13,6.04E+02,,,,,,,,,,,,,,,,,,,,
15,8.62E+07,Spleen ,T8A Memory,T8ATetramerStainMem_M1S_MMV_015.fcs,82.9,93.4,88.9,50.2,32.2,16.1644,9.59E+06,0.3,2.88E+04,0.37,3.55E+04,1.06,1.02E+05,0.24,2.30E+04,0,0.00E+00,0.023,2.21E+03,0.035,3.36E+03,0.76,7.29E+04,0.092,8.82E+03,0.035,3.36E+03,,,,,,,,,,,,,,,,,,,,
25,8.56E+07,Spleen ,T8A Memory,T8ATetramerStainMem_M2S_MMV_016.fcs,73,91.2,90.7,49.2,0.71,0.34932,1.81E+05,0,0.00E+00,0,0.00E+00,2.58,4.66E+03,0,0.00E+00,0,0.00E+00,0,0.00E+00,0,0.00E+00,2.58,4.66E+03,0,0.00E+00,0,0.00E+00,,,,,,,,,,,,,,,,,,,,
39,6.58E+07,Spleen ,T8A Memory,T8ATetramerStainMem_M3S_MMV_017.fcs,72.9,93.8,86.9,49,36.4,17.836,6.97E+06,0.041,2.86E+03,0.052,3.63E+03,0.53,3.70E+04,0.01,6.97E+02,0,0.00E+00,0.021,1.46E+03,0,0.00E+00,0.5,3.49E+04,0.041,2.86E+03,0.01,6.97E+02,,,,,,,,,,,,,,,,,,,,
70,4.90E+07,Lungs,WT Challenge,Tetramer_Stains_M1_L_MMW_021.fcs,67.7,87.3,88.3,91.6,8.16,7.47456,1.91E+06,0.018,3.44E+02,0.018,3.44E+02,2.22,4.24E+04,0,0.00E+00,0,0.00E+00,0,0.00E+00,0,0.00E+00,2.22,4.24E+04,0.018,3.44E+02,0.018,3.44E+02,,,,,,,,,,,,,,,,,,,,
70,1.17E+06,BAL,WT Challenge,Tetramer_Stains_M2_BAL_MMW_025.fcs,53.9,93.6,86.2,94.3,0.073,0.068839,3.50E+02,0,0.00E+00,0,0.00E+00,0,0.00E+00,0,0.00E+00,0,0.00E+00,0,0.00E+00,0,0.00E+00,0,0.00E+00,0,0.00E+00,0,0.00E+00,,,,,,,,,,,,,,,,,,,,
72,3.96E+07,Lungs,WT Challenge,Tetramer_Stains_M2_L_MMW_022.fcs,57.7,87,88.1,90.3,5.2,4.6956,8.22E+05,0,0.00E+00,0.035,2.88E+02,3.77,3.10E+04,0,0.00E+00,0,0.00E+00,0,0.00E+00,0,0.00E+00,3.77,3.10E+04,0,0.00E+00,0.035,2.88E+02,,,,,,,,,,,,,,,,,,,,
76,3.50E+07,Lungs,WT Challenge,Tetramer_Stains_M3_L_MMW_023.fcs,54.5,87.8,95.4,93.7,5.82,5.45334,8.71E+05,0,0.00E+00,0,0.00E+00,1.98,1.73E+04,0,0.00E+00,0,0.00E+00,0,0.00E+00,0,0.00E+00,1.98,1.73E+04,0,0.00E+00,0,0.00E+00,,,,,,,,,,,,,,,,,,,,
