Mouse ,Cell Count ,Tissue,T8A Primary,Sample:,Lymphocytes,Singlets,Live Cells,F480 B220 neg,CD8n_Freq,CD8n_Norm_Freq,CD8n_Num,CD8n_M6ITotal_Freq,CD8n_M6ITotal_Num,CD8n_M6VTotal_Freq,CD8n_M6VTotal_Num,CD8n_WTTotal_Freq,CD8n_WTTotal_Num,CD8n_TriplePos_Freq,CD8n_TriplePos_Num,CD8n_M6IM6VDP_Freq,CD8n_M6IM6VDP_Num,CD8n_WTM6IDP_Freq ,CD8n_WTM6IDP_Num,CD8n_WTM6IDP_Num,CD8n_WTM6VDP_Freq,CD8n_WTSP_Freq,CD8n_WTSP_Freq,CD8n_M6ISP_Freq,CD8n_M6ISP_Num,CD8n_M6VSP_Freq,CD8n_M6VSP_Num,,,,,,,,,,,,,,,,,,,,,
182,1.84E+06,Lungs,M6V Challenge,MMW_MMW_L_M_001_022.fcs,55.8,76.2,76,90.9,88.7,80.6283,4.80E+05,0.31,1.49E+03,0.62,2.98E+03,0.24,1.15E+03,0.011,5.28E+01,0.055,2.64E+02,3.65E-03,1.75E+01,0.015,7.20E+01,0.22,1.06E+03,0.24,1.15E+03,0.54,2.59E+03,,,,,,,,,,,,,,,,,,,,,
184,2.22E+06,Lungs,M6V Challenge,MMW_MMW_L_M_002_023.fcs,62.6,84,73.6,91.6,83.4,76.3944,6.56E+05,0.27,1.77E+03,0.5,3.28E+03,0.25,1.64E+03,0.016,1.05E+02,0.07,4.59E+02,3.17E-03,2.08E+01,0.016,1.05E+02,0.22,1.44E+03,0.18,1.18E+03,0.4,2.63E+03,,,,,,,,,,,,,,,,,,,,,
187,1.97E+07,Lungs,M6V Challenge,MMW_MMW_L_M_003_024.fcs,54.9,79.6,70.2,90.8,82.8,75.1824,4.54E+06,1.17,5.32E+04,7.14,3.24E+05,6.19,2.81E+05,0.11,5.00E+03,0.033,1.50E+03,0.033,1.50E+03,5.64,2.56E+05,0.41,1.86E+04,0.99,4.50E+04,1.36,6.18E+04,,,,,,,,,,,,,,,,,,,,,
193,1.48E+07,Lungs,M6V Challenge,MMW_MMW_L_M_004_025.fcs,66.3,82.5,74.8,81.9,88.4,72.3996,4.38E+06,0.46,2.02E+04,2.05,8.99E+04,1.85,8.11E+04,0.017,7.45E+02,0.044,1.93E+03,0.035,1.53E+03,1.13,4.95E+04,0.67,2.94E+04,0.37,1.62E+04,0.86,3.77E+04,,,,,,,,,,,,,,,,,,,,,
182,4.76E+07,Spleen ,M6V Challenge,MMW_MMW_S_M_001_028.fcs,82.7,90.2,89,52.1,42.2,21.9862,6.95E+06,0.15,1.04E+04,0.69,4.79E+04,0.23,1.60E+04,0,0.00E+00,0.016,1.11E+03,0.033,2.29E+03,0.016,1.11E+03,0.18,1.25E+04,0.099,6.88E+03,0.66,4.59E+04,,,,,,,,,,,,,,,,,,,,,
184,6.91E+07,Spleen ,M6V Challenge,MMW_MMW_S_M_002_029.fcs,88,91.8,89.8,51.9,39.3,20.3967,1.02E+07,0.12,1.23E+04,1.22,1.25E+05,0.49,5.01E+04,0,0.00E+00,0.017,1.74E+03,0.017,1.74E+03,0.17,1.74E+04,0.3,3.07E+04,0.084,8.59E+03,1.04,1.06E+05,,,,,,,,,,,,,,,,,,,,,
187,5.33E+07,Spleen ,M6V Challenge,MMW_MMW_S_M_003_030.fcs,85.8,92,87.9,54.4,36.5,19.856,7.34E+06,0.051,3.74E+03,3.23,2.37E+05,2.59,1.90E+05,0,0.00E+00,0.034,2.49E+03,0,0.00E+00,1.81,1.33E+05,0.78,5.72E+04,0.017,1.25E+03,1.39,1.02E+05,,,,,,,,,,,,,,,,,,,,,
193,6.09E+07,Spleen ,M6V Challenge,MMW_MMW_S_M_004_031.fcs,86.2,92.6,83.8,53.8,34.4,18.5072,7.54E+06,0.1,7.54E+03,1.32,9.96E+04,1.02,7.69E+04,0,0.00E+00,0.021,1.58E+03,0.021,1.58E+03,0.35,2.64E+04,0.65,4.90E+04,0.063,4.75E+03,0.94,7.09E+04,,,,,,,,,,,,,,,,,,,,,
190,8.39E+06,BAL,M6I Challenge,MMW_MMW_B_M_001_022.fcs,79.3,91.7,95.9,73.8,97.6,72.0288,4.21E+06,2.69,1.13E+05,1.9,8.01E+04,2.88,1.21E+05,1.89,7.97E+04,5.49E-03,2.31E+02,0.64,2.70E+04,0,0.00E+00,0.35,1.48E+04,0.15,6.32E+03,5.49E-03,2.31E+02,,,,,,,,,,,,,,,,,,,,,
190,3.96E+07,Lungs,M6I Challenge,MMW_MMW_L_M_001_019.fcs,46,89.6,92.1,93.7,90.6,84.8922,1.28E+07,12.7,1.62E+06,1.86,2.37E+05,2.92,3.73E+05,1.79,2.28E+05,0.012,1.53E+03,0.7,8.93E+04,9.69E-03,1.24E+03,0.41,5.23E+04,10.2,1.30E+06,0.044,5.61E+03,,,,,,,,,,,,,,,,,,,,,
191,2.12E+07,Lungs,M6I Challenge,MMW_MMW_L_M_002_020.fcs,41.5,85.2,91,91.1,88.5,80.6235,5.50E+06,7.73,4.26E+05,0.76,4.18E+04,1.28,7.05E+04,0.71,3.91E+04,2.86E-03,1.57E+02,0.34,1.87E+04,0.014,7.71E+02,0.21,1.16E+04,6.68,3.68E+05,0.029,1.60E+03,,,,,,,,,,,,,,,,,,,,,
192,2.65E+07,Lungs,M6I Challenge,MMW_MMW_L_M_003_021.fcs,55.9,91.2,92.5,94.9,91.6,86.9284,1.09E+07,5.94,6.45E+05,0.11,1.19E+04,0.17,1.85E+04,0.021,2.28E+03,0.023,2.50E+03,0.023,2.50E+03,0.016,1.74E+03,0.11,1.19E+04,5.87,6.38E+05,0.051,5.54E+03,,,,,,,,,,,,,,,,,,,,,
