Mouse ,Cell Count ,Tissue,Condition ,Sample:,Lymphocytes,Singlets,Live Cells,F480 B220 neg,CD8n_Freq,CD8n_Norm_Freq,CD8n_Num,CD8n_M6ITotal_Freq,CD8n_M6ITotal_Num,CD8n_M6VTotal_Freq,CD8n_M6VTotal_Num,CD8n_WTTotal_Freq,CD8n_WTTotal_Num,CD8n_TriplePos_Freq,CD8n_TriplePos_Num,CD8n_M6IM6VDP_Freq,CD8n_M6IM6VDP_Num,CD8n_WTM6IDP_Freq ,CD8n_WTM6IDP_Num ,CD8n_WTM6VDP_Freq,CD8n_WTM6VDP_Num,CD8p_WTSP_Freq,CD8p_WTSP_Num,CD8n_M6ISP_Freq,CD8n_M6ISP_Num,CD8n_M6VSP_Freq,CD8n_M6VSP_Num
248,2.94E+07,Spleen,M6V Challenged WT Primed ,Phenotype_Tetramer_MMW_M6V_Chal_M4_S_MMW_043.fcs,75.2,94.5,94.3,51.1,71.3,36.4343,7.18E+06,0.16,1.15E+04,0.16,4.23E+08,0.34,3.43E+08,0,0.00E+00,8.23E-03,8.29E+06,0.15,1.51E+08,0.041,4.13E+07,0.15,1.08E+04,0,0.00E+00,0.12,8.61E+03
126,2.68E+06,BAL ,M6I Challenged ,MMW_MMW_BAL_M2_029.fcs,78.2,88.8,88.8,89.5,97.8,87.531,1.45E+06,0.41,5.93E+03,0.053,1.40E+07,0.093,7.50E+06,0,0.00E+00,2.66E-03,2.15E+05,7.97E-03,6.43E+05,7.97E-03,6.43E+05,0.077,1.11E+03,0.4,5.79E+03,0.043,6.22E+02
127,5.70E+06,BAL ,M6I Challenged ,MMW_MMW_BAL_M3_030.fcs,13.6,83.9,85.2,89.7,95.3,85.4841,4.74E+05,3.71,1.76E+04,2.58,4.34E+08,4.05,5.81E+09,2.47,3.54E+09,0.016,2.29E+07,1.07,1.53E+09,0.016,2.29E+07,0.49,2.32E+03,0.15,7.11E+02,0.073,3.46E+02
125,3.08E+07,Lungs,M6I Challenged ,MMW_MMW_L_M1_024.fcs,71.3,84.3,81.4,93.7,86.6,81.1442,1.22E+07,8.53,1.04E+06,0.4,8.07E+09,0.15,3.53E+12,0.019,4.47E+11,0.038,8.95E+11,6.36E-03,1.50E+11,0.06,1.41E+12,0.067,8.19E+03,8.46,1.03E+06,0.28,3.42E+04
126,2.10E+07,Lungs,M6I Challenged ,MMW_MMW_L_M2_025.fcs,56.5,83.6,82.1,88.3,84.3,74.4369,6.06E+06,2.58,1.56E+05,0.045,2.61E+08,0.14,4.51E+10,0,0.00E+00,0,0.00E+00,0,0.00E+00,0.012,3.87E+09,0.13,7.88E+03,2.58,1.56E+05,0.033,2.00E+03
127,3.52E+07,Lungs,M6I Challenged ,MMW_MMW_L_M3_026.fcs,61.5,89.1,80.5,95.5,89,84.995,1.32E+07,17.1,2.26E+06,3.3,8.92E+10,5.75,7.80E+14,3.12,4.23E+14,0.046,6.24E+12,2.24,3.04E+14,0.012,1.63E+12,0.38,5.01E+04,11.7,1.54E+06,0.12,1.58E+04
128,3.41E+07,Lungs,M6I Challenged ,MMW_MMW_L_M4_027.fcs,66.5,89.3,85.9,92,87.7,80.684,1.40E+07,14.9,2.09E+06,1.17,3.13E+10,0.49,5.17E+13,0.32,3.38E+13,0.74,7.81E+13,0.095,1.00E+13,7.48E-03,7.89E+11,0.067,9.40E+03,13.8,1.94E+06,0.1,1.40E+04
129,3.81E+07,Lungs,M6I Challenged ,MMW_MMW_L_M5_028.fcs,71.4,89.8,85.5,91.4,84.6,77.3244,1.62E+07,10.5,1.70E+06,0.46,1.45E+10,3.03,2.17E+14,0.3,2.15E+13,4.98E-03,3.57E+11,2.61,1.87E+14,4.98E-03,3.57E+11,0.11,1.78E+04,7.59,1.23E+06,0.15,2.42E+04
125,4.40E+07,Spleen,M6I Challenged ,MMW_MMW_S_M1_031.fcs,85.5,93,94.6,41.8,50.8,21.2344,7.03E+06,0.052,3.65E+03,0.026,3.43E+07,0.26,1.65E+07,0,0.00E+00,0,0.00E+00,0,0.00E+00,0,0.00E+00,0.26,1.83E+04,0.052,3.65E+03,0.026,1.83E+03
126,7.33E+07,Spleen,M6I Challenged ,MMW_MMW_S_M2_032.fcs,79.9,93.4,93.4,52.5,52.7,27.6675,1.41E+07,0.052,7.35E+03,0.017,1.26E+08,0.16,9.24E+07,0,0.00E+00,0,0.00E+00,0,0.00E+00,0,0.00E+00,0.16,2.26E+04,0.052,7.35E+03,0.017,2.40E+03
127,4.02E+07,Spleen,M6I Challenged ,MMW_MMW_S_M3_033.fcs,79.4,93.8,94.1,51.1,42.3,21.6153,6.09E+06,0.31,1.89E+04,0.12,1.29E+08,0.51,6.68E+08,0.1,1.31E+08,0.015,1.96E+07,0.13,1.70E+08,0,0.00E+00,0.28,1.71E+04,0.058,3.53E+03,0,0.00E+00
128,6.37E+07,Spleen,M6I Challenged ,MMW_MMW_S_M4_034.fcs,85.6,94.4,93,47.2,45.3,21.3816,1.02E+07,0.94,9.62E+04,0.65,1.80E+09,0.4,2.28E+10,0.043,2.46E+09,0.61,3.48E+10,0.22,1.26E+10,0,0.00E+00,0.14,1.43E+04,0.072,7.37E+03,0,0.00E+00
129,4.91E+07,Spleen,M6I Challenged ,MMW_MMW_S_M5_035.fcs,81.7,93.2,89,42.4,38.6,16.3664,5.45E+06,1.63,8.88E+04,0.038,2.42E+07,1.75,4.28E+10,0,0.00E+00,0,0.00E+00,1.5,3.67E+10,0,0.00E+00,0.25,1.36E+04,0.13,7.08E+03,0.038,2.07E+03
